REG,URB,HHID,RESP_LNO,Q5_TECHVOC,Q5_TECHVOC_COURSE,Q5_SPECIFY_COURSE,Q6_TESDA_CERT,Q15A_ARTS,Q15B_SCIENCE,Q15C_BUSINESS,Q20_ACTIVITY,Q21_KNOWLEDGE,C5_AGE_RT04,C12_HEA_RT04,C4_SEX_RT04,C14_ATTEND_SCHOOL_RT04
13,1,35555,1,2,,,2,4,3,5,1,1,24,60111,2,4
13,1,38717,2,2,,,2,4,3,5,1,1,28,60001,2,4
13,1,39854,2,2,,,2,4,3,5,1,1,21,60002,1,4
13,1,40056,3,2,,,2,4,3,5,1,1,24,24015,1,4
13,1,40576,2,2,,,2,4,3,5,1,1,28,24015,1,4
2,1,2146,1,2,,,2,3,3,5,2,1,27,61013,1,4
3,1,3998,3,1,50612,COMPUTER TECHNICIAN,1,3,3,5,1,1,30,50714,1,4
3,1,4115,3,2,,,2,3,3,5,2,1,22,60419,2,4
3,1,6368,3,1,51013,2 YEAR CULINARY,1,3,3,5,1,1,25,51013,1,4
3,1,6868,1,2,,,2,3,3,5,2,1,24,60003,1,4
3,1,6965,2,2,,,2,3,3,5,1,1,21,24015,2,4
3,1,6977,3,2,,,2,3,3,5,2,1,24,60413,1,4
3,1,7299,3,2,,,2,3,3,5,2,1,30,61013,1,4
4,1,8345,1,2,,,2,3,3,5,2,1,25,50714,1,4
4,1,9063,2,2,,,1,3,3,5,1,1,29,60003,2,4
4,1,10811,3,2,,,2,3,3,5,2,1,21,60612,1,4
5,1,11318,3,1,40721,FOOD & BEVERAGE SERVICES,1,3,3,5,1,1,30,61041,1,4
5,1,12095,2,2,,,2,3,3,5,1,1,29,60413,1,4
5,2,12390,1,2,,,2,3,3,5,1,1,24,60413,1,4
5,2,13369,3,2,,,2,3,3,5,2,1,23,60004,2,4
6,1,13962,3,2,,,2,3,3,5,1,1,30,60913,2,4
6,2,14501,1,2,,,2,3,3,5,1,1,26,60612,1,4
6,1,16818,1,2,,,1,3,3,5,1,1,30,24013,1,4
6,2,17248,1,2,,,1,3,3,5,1,1,30,24011,1,4
7,1,17767,1,2,,,2,3,3,5,1,1,26,24015,2,4
7,1,18014,2,2,,,1,3,3,5,1,1,24,60321,1,4
7,1,18014,3,2,,,2,3,3,5,1,1,22,60001,1,4
7,1,18276,1,2,,,2,3,3,5,1,1,26,61013,2,4
7,1,18374,4,2,,,2,3,3,5,2,1,23,60488,1,4
7,1,18442,1,2,,,2,3,3,5,1,1,29,24015,1,4
7,1,18602,2,2,,,2,3,3,5,1,1,29,24015,2,4
7,1,18832,4,2,,,2,3,3,5,1,1,29,24015,1,4
7,1,19225,1,2,,,2,3,3,5,1,1,25,10018,1,4
7,1,19304,2,2,,,2,3,3,5,1,1,21,24015,1,4
8,1,20947,1,2,,,2,3,3,5,1,1,26,24015,2,4
8,2,21446,2,2,,,2,3,3,5,1,1,27,60415,2,4
8,2,22891,2,2,,,2,3,3,5,1,1,30,60114,2,4
10,1,25686,4,2,,,2,3,3,5,1,1,23,60111,2,4
11,1,29395,1,2,,,2,3,3,5,1,1,23,24015,1,4
11,1,29526,2,1,51088,HOTEL AND REST. MGT.,2,3,3,5,1,1,29,24015,2,4
11,1,29771,2,1,40716,AUTOMOTIVE NCII,1,3,3,5,1,1,25,35033,1,4
12,1,32637,1,2,,,2,3,3,5,2,1,30,24015,1,4
13,1,34582,2,2,,,2,3,3,5,1,1,21,24015,2,4
13,1,34798,3,2,,,2,3,3,5,1,1,29,60413,1,4
13,1,34910,1,2,,,2,3,3,5,2,1,30,61013,1,4
13,1,35522,1,2,,,2,3,3,5,2,1,23,61015,2,4
13,1,35589,1,2,,,2,3,3,5,1,1,26,40119,1,4
13,1,38462,2,1,41013,BARISTA COURSE,1,3,3,5,1,1,29,60413,2,4
13,1,38990,1,1,50732,SHELDED METAL AND BUILDING,1,3,3,5,1,1,27,50002,1,4
13,1,39647,3,2,,,2,3,3,5,1,1,24,40213,2,4
13,1,40439,2,2,,,2,3,3,5,1,1,20,24015,2,4
13,1,41881,2,2,,,2,3,3,5,2,1,19,34013,2,4
13,1,42165,1,2,,,2,3,3,5,1,1,24,60313,1,4
13,1,42187,5,2,,,2,3,3,5,1,1,18,24015,1,4
13,1,42360,1,2,,,2,3,3,5,1,1,25,60415,2,4
13,1,42498,2,2,,,2,3,3,5,1,1,29,24015,2,4
14,2,44668,1,2,,,2,3,3,5,1,1,21,24015,2,4
15,2,47481,3,2,,,2,3,3,5,1,1,19,24014,1,4
17,1,52149,4,2,,,2,3,3,5,1,1,28,60610,1,4
17,2,52749,2,2,,,2,3,3,5,1,1,29,40714,1,4
17,1,53203,1,2,,,2,3,3,5,1,1,28,60003,1,4
17,2,53911,2,1,40721,FBS NCII,1,3,3,5,1,1,27,40721,2,4
3,1,4637,2,2,,,2,2,3,5,1,1,23,60411,2,4
5,2,12875,2,2,,,2,2,3,5,1,1,28,40001,2,4
7,1,18505,1,2,,,2,2,3,5,1,1,27,24015,1,4
7,2,20268,3,2,,,2,2,3,5,2,1,21,24015,1,4
8,2,21462,3,2,,,2,2,3,5,1,1,25,60111,2,4
8,2,22195,2,2,,,2,2,3,5,1,1,28,24015,1,4
10,2,25919,3,2,,,2,2,3,5,1,1,23,60413,2,4
10,2,25967,3,2,,,2,2,3,5,1,1,25,60721,2,4
11,1,29298,2,1,40716,DRIVING NC II,1,2,3,5,1,1,29,24015,1,4
11,1,29365,2,2,,,2,2,3,5,1,1,20,60003,2,4
12,2,31989,1,2,,,2,2,3,5,1,1,30,24015,1,4
13,1,36836,2,2,,,2,2,3,5,2,1,30,60314,1,4
13,1,38436,2,2,,,1,2,3,5,2,1,27,61013,2,4
13,1,40254,2,2,,,2,2,3,5,1,1,28,61013,2,4
13,1,42187,3,2,,,2,2,3,5,1,1,30,24015,1,4
13,1,42699,2,2,,,2,2,3,5,1,1,25,60913,1,4
